Fecha,tiie28
02/01/2020,7.555
03/01/2020,7.5525
06/01/2020,7.5495
07/01/2020,7.5475
08/01/2020,7.545
09/01/2020,7.5425
10/01/2020,7.5425
13/01/2020,7.5402
14/01/2020,7.5381
15/01/2020,7.5375
16/01/2020,7.53
17/01/2020,7.525
20/01/2020,7.53
21/01/2020,7.525
22/01/2020,7.5225
23/01/2020,7.5215
24/01/2020,7.5225
27/01/2020,7.5202
28/01/2020,7.51
29/01/2020,7.5065
30/01/2020,7.5025
31/01/2020,7.5002
04/02/2020,7.4951
05/02/2020,7.4937
06/02/2020,7.4925
07/02/2020,7.4915
10/02/2020,7.4892
11/02/2020,7.4875
12/02/2020,7.4837
13/02/2020,7.4812
14/02/2020,7.45
17/02/2020,7.33
18/02/2020,7.315
19/02/2020,7.31
20/02/2020,7.305
21/02/2020,7.3012
24/02/2020,7.303
25/02/2020,7.3015
26/02/2020,7.3
27/02/2020,7.295
28/02/2020,7.295
02/03/2020,7.2925
03/03/2020,7.2812
04/03/2020,7.265
05/03/2020,7.2525
06/03/2020,7.2412
09/03/2020,7.235
10/03/2020,7.2275
11/03/2020,7.2262
12/03/2020,7.2175
13/03/2020,7.2187
17/03/2020,7.217
18/03/2020,7.21
19/03/2020,7.2075
20/03/2020,7.205
23/03/2020,7.2025
24/03/2020,6.815
25/03/2020,6.785
26/03/2020,6.7675
27/03/2020,6.7587
30/03/2020,6.7487
31/03/2020,6.74
01/04/2020,6.71
02/04/2020,6.7025
03/04/2020,6.7
06/04/2020,6.69
07/04/2020,6.685
08/04/2020,6.6775
13/04/2020,6.6487
14/04/2020,6.6418
15/04/2020,6.6385
16/04/2020,6.6292
17/04/2020,6.6196
20/04/2020,6.6142
21/04/2020,6.6115
22/04/2020,6.607
23/04/2020,6.2725
24/04/2020,6.2662
27/04/2020,6.2645
28/04/2020,6.2607
29/04/2020,6.2592
30/04/2020,6.256
04/05/2020,6.2475
05/05/2020,6.245
06/05/2020,6.2425
07/05/2020,6.241
08/05/2020,6.2395
11/05/2020,6.2357
12/05/2020,6.2315
13/05/2020,6.2277
14/05/2020,6.196
15/05/2020,6.1772
18/05/2020,5.78
19/05/2020,5.7775
20/05/2020,5.7727
21/05/2020,5.7688
22/05/2020,5.7644
25/05/2020,5.7622
26/05/2020,5.755
27/05/2020,5.7525
28/05/2020,5.7482
29/05/2020,5.7441
01/06/2020,5.7395
02/06/2020,5.7347
03/06/2020,5.7325
04/06/2020,5.7286
05/06/2020,5.7229
08/06/2020,5.7089
09/06/2020,5.696
10/06/2020,5.6924
11/06/2020,5.685
12/06/2020,5.681
15/06/2020,5.6765
16/06/2020,5.673
17/06/2020,5.671
18/06/2020,5.6655
19/06/2020,5.661
22/06/2020,5.656
23/06/2020,5.655
24/06/2020,5.6505
25/06/2020,5.6452
26/06/2020,5.6101
29/06/2020,5.2975
30/06/2020,5.2887
01/07/2020,5.2843
02/07/2020,5.2665
03/07/2020,5.26
06/07/2020,5.2562
07/07/2020,5.255
08/07/2020,5.2505
09/07/2020,5.2457
10/07/2020,5.243
13/07/2020,5.2385
14/07/2020,5.2372
15/07/2020,5.235
16/07/2020,5.2305
17/07/2020,5.2292
20/07/2020,5.225
21/07/2020,5.2225
22/07/2020,5.219
23/07/2020,5.2175
24/07/2020,5.2075
27/07/2020,5.204
28/07/2020,5.2042
29/07/2020,5.2
30/07/2020,5.1975
31/07/2020,5.195
03/08/2020,5.1925
04/08/2020,5.1877
05/08/2020,5.184
06/08/2020,5.178
07/08/2020,5.174
10/08/2020,5.1702
11/08/2020,5.1687
12/08/2020,5.1668
13/08/2020,5.1359
14/08/2020,5.1292
17/08/2020,4.8036
18/08/2020,4.797
19/08/2020,4.7935
20/08/2020,4.7895
21/08/2020,4.7875
24/08/2020,4.7845
25/08/2020,4.7792
26/08/2020,4.7775
27/08/2020,4.775
28/08/2020,4.7725
31/08/2020,4.769
01/09/2020,4.7677
02/09/2020,4.764
03/09/2020,4.762
04/09/2020,4.7585
07/09/2020,4.7602
08/09/2020,4.7576
09/09/2020,4.753
10/09/2020,4.7522
11/09/2020,4.7512
14/09/2020,4.7507
15/09/2020,4.746
17/09/2020,4.7422
18/09/2020,4.7415
21/09/2020,4.7367
22/09/2020,4.7335
23/09/2020,4.7325
24/09/2020,4.729
25/09/2020,4.7275
28/09/2020,4.5605
29/09/2020,4.55
30/09/2020,4.5495
01/10/2020,4.5485
02/10/2020,4.5487
05/10/2020,4.5445
06/10/2020,4.5425
07/10/2020,4.543
08/10/2020,4.5425
09/10/2020,4.5425
12/10/2020,4.539
13/10/2020,4.5345
14/10/2020,4.537
15/10/2020,4.5357
16/10/2020,4.531
19/10/2020,4.5306
20/10/2020,4.5255
21/10/2020,4.525
22/10/2020,4.525
23/10/2020,4.5207
26/10/2020,4.5222
27/10/2020,4.5225
28/10/2020,4.5215
29/10/2020,4.5162
30/10/2020,4.5155
03/11/2020,4.5125
04/11/2020,4.516
05/11/2020,4.511
06/11/2020,4.506
09/11/2020,4.503
10/11/2020,4.5
11/11/2020,4.5007
12/11/2020,4.4987
13/11/2020,4.493
17/11/2020,4.505
18/11/2020,4.5025
19/11/2020,4.4985
20/11/2020,4.4952
23/11/2020,4.4925
24/11/2020,4.4925
25/11/2020,4.49
26/11/2020,4.4875
27/11/2020,4.4835
30/11/2020,4.4855
01/12/2020,4.4872
02/12/2020,4.4885
03/12/2020,4.4889
04/12/2020,4.4845
07/12/2020,4.4825
08/12/2020,4.4825
09/12/2020,4.4819
10/12/2020,4.4775
11/12/2020,4.4782
14/12/2020,4.4775
15/12/2020,4.4745
16/12/2020,4.471
17/12/2020,4.5
18/12/2020,4.4965
21/12/2020,4.494
22/12/2020,4.495
23/12/2020,4.4922
24/12/2020,4.4882
28/12/2020,4.4878
29/12/2020,4.4875
30/12/2020,4.485
31/12/2020,4.4842
04/01/2021,4.4805
05/01/2021,4.481
06/01/2021,4.4812
07/01/2021,4.4776
08/01/2021,4.4775
11/01/2021,4.4775
12/01/2021,4.475
13/01/2021,4.4716
14/01/2021,4.47
15/01/2021,4.4677
18/01/2021,4.4675
19/01/2021,4.4655
20/01/2021,4.4667
21/01/2021,4.4637
22/01/2021,4.4615
25/01/2021,4.4615
26/01/2021,4.4592
27/01/2021,4.4565
28/01/2021,4.4542
29/01/2021,4.452
02/02/2021,4.45
03/02/2021,4.4504
04/02/2021,4.4477
05/02/2021,4.4465
08/02/2021,4.4437
09/02/2021,4.4425
10/02/2021,4.442
11/02/2021,4.4415
12/02/2021,4.449
15/02/2021,4.2948
16/02/2021,4.2925
17/02/2021,4.2915
18/02/2021,4.289
19/02/2021,4.2875
22/02/2021,4.2865
23/02/2021,4.2875
24/02/2021,4.2862
25/02/2021,4.2831
26/02/2021,4.2825
01/03/2021,4.2812
02/03/2021,4.2825
03/03/2021,4.2813
04/03/2021,4.2825
05/03/2021,4.2825
08/03/2021,4.282
09/03/2021,4.285
10/03/2021,4.284
11/03/2021,4.2845
12/03/2021,4.2845
16/03/2021,4.283
17/03/2021,4.2825
18/03/2021,4.2812
19/03/2021,4.2812
22/03/2021,4.285
23/03/2021,4.2837
24/03/2021,4.2825
25/03/2021,4.2825
26/03/2021,4.283
29/03/2021,4.2862
30/03/2021,4.285
31/03/2021,4.2875
05/04/2021,4.2875
06/04/2021,4.288
07/04/2021,4.2885
08/04/2021,4.2875
09/04/2021,4.2875
12/04/2021,4.2885
13/04/2021,4.2875
14/04/2021,4.2885
15/04/2021,4.285
16/04/2021,4.2831
19/04/2021,4.2815
20/04/2021,4.2825
21/04/2021,4.2829
22/04/2021,4.281
23/04/2021,4.281
26/04/2021,4.2825
27/04/2021,4.281
28/04/2021,4.281
29/04/2021,4.281
30/04/2021,4.283
03/05/2021,4.285
04/05/2021,4.2852
05/05/2021,4.286
06/05/2021,4.284
07/05/2021,4.2837
10/05/2021,4.2837
11/05/2021,4.285
12/05/2021,4.2875
13/05/2021,4.2872
14/05/2021,4.2897
17/05/2021,4.29
18/05/2021,4.2892
19/05/2021,4.289
20/05/2021,4.2885
21/05/2021,4.2745
24/05/2021,4.2815
25/05/2021,4.2824
26/05/2021,4.2815
27/05/2021,4.285
28/05/2021,4.285
31/05/2021,4.284
01/06/2021,4.283
02/06/2021,4.2825
03/06/2021,4.2825
04/06/2021,4.281
07/06/2021,4.2822
08/06/2021,4.2815
09/06/2021,4.285
10/06/2021,4.2827
11/06/2021,4.282
14/06/2021,4.285
15/06/2021,4.2859
16/06/2021,4.2875
17/06/2021,4.285
18/06/2021,4.2855
21/06/2021,4.2856
22/06/2021,4.285
23/06/2021,4.285
24/06/2021,4.2827
25/06/2021,4.2863
28/06/2021,4.52
29/06/2021,4.53
30/06/2021,4.5292
01/07/2021,4.529
02/07/2021,4.529
05/07/2021,4.5265
06/07/2021,4.5265
07/07/2021,4.5245
08/07/2021,4.524
09/07/2021,4.5235
12/07/2021,4.525
13/07/2021,4.524
14/07/2021,4.5225
15/07/2021,4.5245
16/07/2021,4.5227
19/07/2021,4.5215
20/07/2021,4.5215
21/07/2021,4.4922
22/07/2021,4.5055
23/07/2021,4.514
26/07/2021,4.514
27/07/2021,4.513
28/07/2021,4.5125
29/07/2021,4.515
30/07/2021,4.5142
02/08/2021,4.5135
03/08/2021,4.5125
04/08/2021,4.514
05/08/2021,4.5125
06/08/2021,4.5133
09/08/2021,4.5115
10/08/2021,4.5125
11/08/2021,4.5147
12/08/2021,4.52
13/08/2021,4.5315
16/08/2021,4.7525
17/08/2021,4.7532
18/08/2021,4.7528
19/08/2021,4.755
20/08/2021,4.7575
23/08/2021,4.7587
24/08/2021,4.755
25/08/2021,4.7544
26/08/2021,4.7545
27/08/2021,4.7502
30/08/2021,4.75
31/08/2021,4.751
01/09/2021,4.749
02/09/2021,4.7502
03/09/2021,4.7455
06/09/2021,4.7425
07/09/2021,4.7436
08/09/2021,4.7471
09/09/2021,4.7485
10/09/2021,4.7445
13/09/2021,4.745
14/09/2021,4.7425
15/09/2021,4.745
17/09/2021,4.745
20/09/2021,4.745
21/09/2021,4.744
22/09/2021,4.7445
23/09/2021,4.7475
24/09/2021,4.7475
27/09/2021,4.7465
28/09/2021,4.7475
29/09/2021,4.7487
30/09/2021,4.749
01/10/2021,4.7515
04/10/2021,4.965
05/10/2021,4.9825
06/10/2021,4.985
07/10/2021,4.9875
08/10/2021,4.9825
11/10/2021,4.985
12/10/2021,4.9862
13/10/2021,4.9825
14/10/2021,4.9857
15/10/2021,4.9806
18/10/2021,4.9855
19/10/2021,4.9875
20/10/2021,4.9825
21/10/2021,4.9825
22/10/2021,4.9912
25/10/2021,4.9925
26/10/2021,4.995
27/10/2021,4.995
28/10/2021,4.995
29/10/2021,4.9962
01/11/2021,4.9975
03/11/2021,5.0004
04/11/2021,5.0022
05/11/2021,4.9754
08/11/2021,4.9902
09/11/2021,4.995
10/11/2021,4.9975
11/11/2021,4.9987
12/11/2021,5.001
16/11/2021,5.22
17/11/2021,5.23
18/11/2021,5.229
19/11/2021,5.2335
22/11/2021,5.2362
23/11/2021,5.2368
24/11/2021,5.2375
25/11/2021,5.235
26/11/2021,5.235
29/11/2021,5.2325
30/11/2021,5.2275
01/12/2021,5.2275
02/12/2021,5.231
03/12/2021,5.2315
06/12/2021,5.227
07/12/2021,5.2325
08/12/2021,5.2372
09/12/2021,5.235
10/12/2021,5.24
13/12/2021,5.2362
14/12/2021,5.2377
15/12/2021,5.2389
16/12/2021,5.2382
17/12/2021,5.2491
20/12/2021,5.7
21/12/2021,5.71
22/12/2021,5.71
23/12/2021,5.712
24/12/2021,5.7122
27/12/2021,5.7135
28/12/2021,5.714
29/12/2021,5.7157
30/12/2021,5.715
31/12/2021,5.715
03/01/2022,5.715
04/01/2022,5.7175
05/01/2022,5.7165
06/01/2022,5.718
07/01/2022,5.7185
10/01/2022,5.719
11/01/2022,5.719
12/01/2022,5.721
13/01/2022,5.7225
14/01/2022,5.7225
17/01/2022,5.7215
18/01/2022,5.722
19/01/2022,5.7225
20/01/2022,5.7262
21/01/2022,5.728
24/01/2022,5.7277
25/01/2022,5.7298
26/01/2022,5.7319
27/01/2022,5.733
28/01/2022,5.733
31/01/2022,5.734
01/02/2022,5.7365
02/02/2022,5.738
03/02/2022,5.739
04/02/2022,5.7415
08/02/2022,5.742
09/02/2022,5.745
10/02/2022,5.745
11/02/2022,5.7537
14/02/2022,6.2012
15/02/2022,6.2256
16/02/2022,6.2325
17/02/2022,6.2375
18/02/2022,6.2325
21/02/2022,6.2275
22/02/2022,6.225
23/02/2022,6.225
24/02/2022,6.221
25/02/2022,6.228
28/02/2022,6.234
01/03/2022,6.2367
02/03/2022,6.2395
03/03/2022,6.241
04/03/2022,6.2362
07/03/2022,6.2315
08/03/2022,6.23
09/03/2022,6.23
10/03/2022,6.235
11/03/2022,6.2375
14/03/2022,6.2375
15/03/2022,6.2425
16/03/2022,6.2487
17/03/2022,6.2523
18/03/2022,6.26
22/03/2022,6.2625
23/03/2022,6.275
24/03/2022,6.2825
25/03/2022,6.2912
28/03/2022,6.7175
29/03/2022,6.7237
30/03/2022,6.7265
31/03/2022,6.7265
01/04/2022,6.7225
04/04/2022,6.721
05/04/2022,6.7225
06/04/2022,6.721
07/04/2022,6.7255
08/04/2022,6.7277
11/04/2022,6.7285
12/04/2022,6.726
13/04/2022,6.73
18/04/2022,6.7345
19/04/2022,6.737
20/04/2022,6.7304
21/04/2022,6.73
22/04/2022,6.735
25/04/2022,6.7325
26/04/2022,6.74
27/04/2022,6.745
28/04/2022,6.745
29/04/2022,6.7506
02/05/2022,6.7525
03/05/2022,6.757
04/05/2022,6.7556
05/05/2022,6.7603
06/05/2022,6.765
09/05/2022,6.765
10/05/2022,6.7725
11/05/2022,6.795
12/05/2022,6.8075
13/05/2022,6.8199
16/05/2022,7.235
17/05/2022,7.218
18/05/2022,7.2087
19/05/2022,7.205
20/05/2022,7.203
23/05/2022,7.202
24/05/2022,7.2075
25/05/2022,7.2187
26/05/2022,7.2107
27/05/2022,7.207
30/05/2022,7.215
31/05/2022,7.2225
01/06/2022,7.225
02/06/2022,7.23
03/06/2022,7.2355
06/06/2022,7.2335
07/06/2022,7.242
08/06/2022,7.2465
09/06/2022,7.2627
10/06/2022,7.267
13/06/2022,7.2715
14/06/2022,7.28
15/06/2022,7.2855
16/06/2022,7.3025
17/06/2022,7.3225
20/06/2022,7.33
21/06/2022,7.3375
22/06/2022,7.355
23/06/2022,7.3775
24/06/2022,7.3913
27/06/2022,8.0125
28/06/2022,8.018
29/06/2022,8.0255
30/06/2022,8.0245
01/07/2022,8.0303
04/07/2022,8.032
05/07/2022,8.025
06/07/2022,8.0303
07/07/2022,8.032
08/07/2022,8.03
11/07/2022,8.0315
12/07/2022,8.0375
13/07/2022,8.03
14/07/2022,8.0365
15/07/2022,8.035
18/07/2022,8.0245
19/07/2022,8.02
20/07/2022,8.03
21/07/2022,8.04
22/07/2022,8.045
25/07/2022,8.0445
26/07/2022,8.044
27/07/2022,8.05
28/07/2022,8.06
29/07/2022,8.075
01/08/2022,8.08
02/08/2022,8.0912
03/08/2022,8.105
04/08/2022,8.1074
05/08/2022,8.1187
08/08/2022,8.119
09/08/2022,8.1225
10/08/2022,8.1312
11/08/2022,8.1624
12/08/2022,8.1787
15/08/2022,8.775
16/08/2022,8.7612
17/08/2022,8.7706
18/08/2022,8.768
19/08/2022,8.7728
22/08/2022,8.7763
23/08/2022,8.781
24/08/2022,8.783
25/08/2022,8.8
26/08/2022,8.808
29/08/2022,8.812
30/08/2022,8.8148
31/08/2022,8.8163
01/09/2022,8.821
02/09/2022,8.8235
05/09/2022,8.82
06/09/2022,8.8177
07/09/2022,8.8196
08/09/2022,8.835
09/09/2022,8.843
12/09/2022,8.8527
13/09/2022,8.8599
14/09/2022,8.8699
15/09/2022,8.8787
19/09/2022,8.8912
20/09/2022,8.9006
21/09/2022,8.915
22/09/2022,8.9275
23/09/2022,8.9395
26/09/2022,8.9509
27/09/2022,8.9585
28/09/2022,8.9792
29/09/2022,8.9896
30/09/2022,9.02
03/10/2022,9.535
04/10/2022,9.5366
05/10/2022,9.5453
06/10/2022,9.5515
07/10/2022,9.5451
10/10/2022,9.5465
11/10/2022,9.545
12/10/2022,9.5515
13/10/2022,9.5595
14/10/2022,9.5635
17/10/2022,9.5655
18/10/2022,9.5665
19/10/2022,9.567
20/10/2022,9.5663
21/10/2022,9.567
24/10/2022,9.5675
25/10/2022,9.575
26/10/2022,9.584
27/10/2022,9.591
28/10/2022,9.59
31/10/2022,9.594
01/11/2022,9.596
03/11/2022,9.597
04/11/2022,9.606
07/11/2022,9.612
08/11/2022,9.6125
09/11/2022,9.62
10/11/2022,9.63
11/11/2022,9.65
14/11/2022,10.22
15/11/2022,10.235
16/11/2022,10.2457
17/11/2022,10.24
18/11/2022,10.2395
22/11/2022,10.2495
23/11/2022,10.2487
24/11/2022,10.2599
25/11/2022,10.2694
28/11/2022,10.2749
29/11/2022,10.2857
30/11/2022,10.2875
01/12/2022,10.2935
02/12/2022,10.2987
05/12/2022,10.309
06/12/2022,10.3162
07/12/2022,10.3249
08/12/2022,10.3287
09/12/2022,10.3343
13/12/2022,10.3471
14/12/2022,10.3535
15/12/2022,10.3612
16/12/2022,10.3737
19/12/2022,10.7125
20/12/2022,10.715
21/12/2022,10.722
22/12/2022,10.7359
23/12/2022,10.7375
26/12/2022,10.7472
27/12/2022,10.745
28/12/2022,10.7545
29/12/2022,10.762
30/12/2022,10.7605
02/01/2023,10.77
03/01/2023,10.7775
04/01/2023,10.777
05/01/2023,10.7663
06/01/2023,10.768
09/01/2023,10.769
10/01/2023,10.7745
11/01/2023,10.7675
12/01/2023,10.7675
13/01/2023,10.7675
16/01/2023,10.76
17/01/2023,10.775
18/01/2023,10.7775
19/01/2023,10.7872
20/01/2023,10.7885
23/01/2023,10.7899
24/01/2023,10.7924
25/01/2023,10.791
26/01/2023,10.7965
27/01/2023,10.7955
30/01/2023,10.805
31/01/2023,10.8162
01/02/2023,10.8125
02/02/2023,10.8274
03/02/2023,10.8335
07/02/2023,10.8449
08/02/2023,10.8512
09/02/2023,10.8605
10/02/2023,10.88
13/02/2023,11.2275
14/02/2023,11.2349
15/02/2023,11.237
16/02/2023,11.243
17/02/2023,11.241
20/02/2023,11.245
21/02/2023,11.2545
22/02/2023,11.2642
23/02/2023,11.2604
24/02/2023,11.27
27/02/2023,11.275
28/02/2023,11.2655
01/03/2023,11.274
02/03/2023,11.2675
03/03/2023,11.2775
06/03/2023,11.2823
07/03/2023,11.285
08/03/2023,11.296
09/03/2023,11.2962
10/03/2023,11.308
13/03/2023,11.314
14/03/2023,11.3195
15/03/2023,11.3245
16/03/2023,11.3372
17/03/2023,11.3474
21/03/2023,11.35
22/03/2023,11.355
23/03/2023,11.365
24/03/2023,11.3749
27/03/2023,11.3874
28/03/2023,11.3986
29/03/2023,11.4035
30/03/2023,11.4149
31/03/2023,11.4274
03/04/2023,11.52
04/04/2023,11.5195
05/04/2023,11.5175
10/04/2023,11.5267
11/04/2023,11.5175
12/04/2023,11.5175
13/04/2023,11.5255
14/04/2023,11.5345
17/04/2023,11.539
18/04/2023,11.5353
19/04/2023,11.537
20/04/2023,11.5329
21/04/2023,11.5293
24/04/2023,11.5253
25/04/2023,11.525
26/04/2023,11.5265
27/04/2023,11.5357
28/04/2023,11.5445
02/05/2023,11.5499
03/05/2023,11.549
04/05/2023,11.554
05/05/2023,11.5669
08/05/2023,11.5625
09/05/2023,11.562
10/05/2023,11.5652
11/05/2023,11.5538
12/05/2023,11.5523
15/05/2023,11.5493
16/05/2023,11.5384
17/05/2023,11.5375
18/05/2023,11.525
19/05/2023,11.526
22/05/2023,11.5213
23/05/2023,11.515
24/05/2023,11.5135
25/05/2023,11.51
26/05/2023,11.5135
29/05/2023,11.5017
30/05/2023,11.509
31/05/2023,11.5057
01/06/2023,11.4966
02/06/2023,11.504
05/06/2023,11.5033
06/06/2023,11.5
07/06/2023,11.498
08/06/2023,11.5015
09/06/2023,11.509
12/06/2023,11.5125
13/06/2023,11.5075
14/06/2023,11.4975
15/06/2023,11.4995
16/06/2023,11.498
19/06/2023,11.5032
20/06/2023,11.4995
21/06/2023,11.5067
22/06/2023,11.5045
23/06/2023,11.5
26/06/2023,11.508
27/06/2023,11.5005
28/06/2023,11.4855
29/06/2023,11.4962
30/06/2023,11.4925
03/07/2023,11.498
04/07/2023,11.503
05/07/2023,11.503
06/07/2023,11.508
07/07/2023,11.5105
10/07/2023,11.5002
11/07/2023,11.4904
12/07/2023,11.495
13/07/2023,11.4925
14/07/2023,11.49
17/07/2023,11.4865
18/07/2023,11.49
19/07/2023,11.4915
20/07/2023,11.5
21/07/2023,11.505
24/07/2023,11.5037
25/07/2023,11.5084
26/07/2023,11.5054
27/07/2023,11.5095
28/07/2023,11.514
31/07/2023,11.5135
01/08/2023,11.508
02/08/2023,11.5105
03/08/2023,11.5053
04/08/2023,11.505
07/08/2023,11.5025
08/08/2023,11.5
09/08/2023,11.494
10/08/2023,11.5005
11/08/2023,11.494
14/08/2023,11.4975
15/08/2023,11.485
16/08/2023,11.485
17/08/2023,11.5
18/08/2023,11.4925
21/08/2023,11.4925
22/08/2023,11.4975
23/08/2023,11.505
24/08/2023,11.4975
25/08/2023,11.494
28/08/2023,11.5062
29/08/2023,11.5055
30/08/2023,11.5079
31/08/2023,11.509
01/09/2023,11.507
04/09/2023,11.506
05/09/2023,11.5019
06/09/2023,11.4972
07/09/2023,11.501
08/09/2023,11.5
11/09/2023,11.5012
12/09/2023,11.5055
13/09/2023,11.5004
14/09/2023,11.505
15/09/2023,11.5075
18/09/2023,11.506
19/09/2023,11.5055
20/09/2023,11.5075
21/09/2023,11.5037
22/09/2023,11.5065
25/09/2023,11.5055
26/09/2023,11.499
27/09/2023,11.4995
28/09/2023,11.5041
29/09/2023,11.4983
02/10/2023,11.5028
03/10/2023,11.5
04/10/2023,11.4985
05/10/2023,11.4983
06/10/2023,11.4979
09/10/2023,11.4977
10/10/2023,11.5
11/10/2023,11.501
12/10/2023,11.502
13/10/2023,11.5022
16/10/2023,11.5045
17/10/2023,11.506
18/10/2023,11.5065
19/10/2023,11.507
20/10/2023,11.507
23/10/2023,11.507
24/10/2023,11.507
25/10/2023,11.507
26/10/2023,11.5047
27/10/2023,11.506
30/10/2023,11.5065
31/10/2023,11.5045
01/11/2023,11.5035
03/11/2023,11.5055
06/11/2023,11.5065
07/11/2023,11.507
08/11/2023,11.507
09/11/2023,11.507
10/11/2023,11.507
13/11/2023,11.507
14/11/2023,11.5064
15/11/2023,11.5055
16/11/2023,11.5051
17/11/2023,11.505
21/11/2023,11.5037
22/11/2023,11.504
23/11/2023,11.504
24/11/2023,11.504
27/11/2023,11.504
28/11/2023,11.5032
29/11/2023,11.504
30/11/2023,11.5041
01/12/2023,11.5033
04/12/2023,11.504
05/12/2023,11.5051
06/12/2023,11.5038
07/12/2023,11.504
08/12/2023,11.504
11/12/2023,11.506
13/12/2023,11.5075
14/12/2023,11.506
15/12/2023,11.5043
18/12/2023,11.504
